Rank,Player,Club,OVERS,MAIDENS,RUNS,WICKETS,BEST BOWLING,5 WICKET HAUL,ECONOMY RATE,STRIKE RATE,AVERAGE,% BOWLED,% CAUGHT,% LBW,% STUMPED,% TEAM WICKET
146,Player_216,Club_33,15.3,2,68,6,2/14,0,4.39,15.5,11.33,83.33,16.67,0.0,0.0,14.29
147,Player_072,Club_38,16.0,0,123,6,3/19,0,7.69,16.0,20.5,50.0,33.33,16.67,0.0,12.24
148,Player_420,Club_03,16.0,1,59,6,2/1,0,3.69,16.0,9.83,50.0,16.67,0.0,0.0,17.65
149,Player_028,Club_19,17.0,4,68,6,2/14,0,4.0,17.0,11.33,83.33,16.67,0.0,0.0,8.7
150,Player_059,Club_06,18.0,2,75,6,3/8,0,4.17,18.0,12.5,100.0,0.0,0.0,0.0,15.79
151,Player_213,Club_27,18.0,1,94,6,2/3,0,5.22,18.0,15.67,83.33,16.67,0.0,0.0,18.75
152,Player_220,Club_49,19.1,2,74,6,2/5,0,3.86,19.17,12.33,100.0,0.0,0.0,0.0,12.5
153,Player_352,Club_46,19.5,4,74,6,2/1,0,3.73,19.83,12.33,33.33,50.0,16.67,0.0,10.91
154,Player_042,Club_01,20.0,3,75,6,2/11,0,3.75,20.0,12.5,83.33,16.67,0.0,0.0,10.34
155,Player_192,Club_14,21.0,3,97,6,1/2,0,4.62,21.0,16.17,83.33,16.67,0.0,0.0,11.32
156,Player_210,Club_20,21.0,2,114,6,2/23,0,5.43,21.0,19.0,50.0,50.0,0.0,0.0,23.08
157,Player_361,Club_39,21.0,1,73,6,2/12,0,3.48,21.0,12.17,66.67,33.33,0.0,0.0,9.84
158,Player_012,Club_14,22.0,6,79,6,2/7,0,3.59,22.0,13.17,16.67,50.0,16.67,16.67,9.52
159,Player_323,Club_14,22.0,1,127,6,2/7,0,5.77,22.0,21.17,50.0,50.0,0.0,0.0,10.91
160,Player_115,Club_37,22.0,5,57,6,2/10,0,2.59,22.0,9.5,50.0,50.0,0.0,0.0,9.23
161,Player_292,Club_35,22.3,1,101,6,2/2,0,4.49,22.5,16.83,100.0,0.0,0.0,0.0,10.53
162,Player_247,Club_29,23.0,5,83,6,2/2,0,3.61,23.0,13.83,83.33,16.67,0.0,0.0,8.96
163,Player_281,Club_13,23.0,2,85,6,2/13,0,3.7,23.0,14.17,83.33,16.67,0.0,0.0,8.7
164,Player_109,Club_42,24.0,5,101,6,2/1,0,4.21,24.0,16.83,66.67,33.33,0.0,0.0,11.54
165,Player_259,Club_01,24.0,3,120,6,2/5,0,5.0,24.0,20.0,50.0,50.0,0.0,0.0,9.68
166,Player_062,Club_49,24.0,4,120,6,1/0,0,5.0,24.0,20.0,66.67,33.33,0.0,0.0,10.34
