Rank,Player,Club,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE,4s,6s,DUCKS,BOWLED,CAUGHT,LBW,STUMPED,RUN OUT,DID NOT BAT(%),GAMES WON(%),GAMES LOST(%),GAMES DRAWN(%),TEAM RUNS(%)
101,Player_304,Club_01,10,10,2,127,26,15.88,0,0,53.91,21,0,0,7,0,0,0,1,0(0.00%),7(70.00%),3(30.00%),0(0.00%),13.48
102,Player_246,Club_14,11,11,5,126,32,21.0,0,0,77.78,18,1,2,5,1,0,0,0,0(0.00%),9(81.82%),2(18.18%),0(0.00%),9.22
103,Player_139,Club_07,9,8,5,126,33,42.0,0,0,90.32,15,2,0,1,2,0,0,0,1(11.11%),9(100.00%),0(0.00%),0(0.00%),14.88
104,Player_393,Club_47,11,11,6,125,32,25.0,0,0,88.19,16,0,2,3,2,0,0,0,0(0.00%),8(72.73%),3(27.27%),0(0.00%),10.71
105,Player_243,Club_47,11,10,5,124,30,24.8,0,0,77.99,14,0,1,1,1,2,0,1,1(9.09%),8(72.73%),3(27.27%),0(0.00%),10.63
106,Player_026,Club_30,10,10,3,123,31,17.57,0,0,67.21,19,0,2,5,2,0,0,0,0(0.00%),1(10.00%),9(90.00%),0(0.00%),17.18
107,Player_215,Club_42,11,11,2,123,33,13.67,0,0,95.35,19,1,2,4,4,0,0,1,0(0.00%),7(63.64%),4(36.36%),0(0.00%),9.26
108,Player_086,Club_13,12,11,2,123,29,13.67,0,0,80.39,17,0,1,6,2,0,0,1,1(8.33%),9(75.00%),3(25.00%),0(0.00%),10.42
109,Player_158,Club_06,11,8,6,122,32,61.0,0,0,103.66,13,2,0,1,1,0,0,0,3(27.27%),8(72.73%),3(27.27%),0(0.00%),9.92
110,Player_027,Club_37,11,10,5,121,32,24.2,0,0,74.23,15,1,2,2,3,0,0,0,1(9.09%),5(45.45%),6(54.55%),0(0.00%),11.8
111,Player_096,Club_07,8,7,5,121,30,60.5,0,0,81.82,17,0,1,1,1,0,0,0,1(12.50%),7(87.50%),1(12.50%),0(0.00%),16.05
112,Player_213,Club_27,8,8,4,121,28,30.25,0,0,63.09,52,2,0,4,0,0,0,0,0(0.00%),2(25.00%),6(75.00%),0(0.00%),15.9
113,Player_261,Club_14,12,12,6,120,32,20.0,0,0,88.89,11,0,0,4,2,0,0,0,0(0.00%),8(66.67%),4(33.33%),0(0.00%),8.96
